Date_time,Tweet
2019-03-11 11:12:57,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 11:12:51,"b'Where is safety,how we safe,this is the situation of #India.#ElectionCommission #Elections2019\xe2\x80\xa6 https://t.co/BnyFHYSiyp'"
2019-03-11 11:12:44,"b""RT @ManiDevaMS: #DelhiCapitals is not only #india 1000 of girls #raped in #TamilNadu #arrestpollachirapists if U don't hve guts against #po\xe2\x80\xa6"""
2019-03-11 11:12:39,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:12:37,b'#Elections2019 Dates are finally out. @BoredBroacha talks to alleged spokesperson for the Chief Election Commission\xe2\x80\xa6 https://t.co/NG4ByDR4Lm'
2019-03-11 11:12:29,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:12:23,b'RT @sunetrac: anyone else confused with the way CEC is announcing? #Elections2019'
2019-03-11 11:12:15,"b'RT @streetbilionare: My Bauchi People, Victory Delayed Is Not Victory Denied. We Shall Wait For The Supplementary Election. Aiii Tafawa Bal\xe2\x80\xa6'"
2019-03-11 11:12:13,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:12:12,"b'RT @moneycontrolcom: #ElectionsWithMC | A day after ECI announced #Elections2019 dates, Union Finance Minister @ArunJaitley reaffirmed @BJP\xe2\x80\xa6'"
2019-03-11 11:12:09,b'Eng. Abdullahi Audi Sule of @OfficialAPCNg emerged as the elected governor of Nasarawa State #NigeriaGovernorship\xe2\x80\xa6 https://t.co/JtxL0dUpwU'
2019-03-11 11:12:08,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:11:56,b'RT @prashanho: Fingers crossed\n23rd May \nNamo Again\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe2\x9c\x8c\xef\xb8\x8f\n#PhirEkBaarModiSarkar \n#Elections2019 \n@narendramodi @BJP4India @AmitShah https://t\xe2\x80\xa6'
2019-03-11 11:11:48,b'RT @streetbilionare: What Is Happening In Kano Now Please? My Kano People Should Resist This Midnight Rubbery. No Rigging Whatsoever Should\xe2\x80\xa6'
2019-03-11 11:11:25,b'See the transparency and accountability in the glass and forget about the negativity. Just fight for change this 1\xe2\x80\xa6 https://t.co/jUzrW6npRV'
2019-03-11 11:11:22,b'RT @MahimaShastri: I am Voting for\n\xe2\x98\x91\xef\xb8\x8f Development\n\xe2\x98\x91\xef\xb8\x8f National Security\n\xe2\x98\x91\xef\xb8\x8f New India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n\nA long term Vision for 2020 and beyond. \nMODI 2019\xe2\x80\xa6'
2019-03-11 11:11:15,"b'RT @imMAQ_7: Slow internet is the second most annoying thing in the world,\nIndian media still top the list.\nOnly paid media can give 564 se\xe2\x80\xa6'"
2019-03-11 11:11:11,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:11:06,b'#Elections2019 Dates are finally out. @BoredBroacha talks to alleged spokesperson for the Chief Election Commission\xe2\x80\xa6 https://t.co/oCZUhIpOUW'
2019-03-11 11:11:05,b'RT @htTweets: #ElectionsWithHT | 14 states and Union Territories to vote on April 23 (Phase 3). \n\nCounting of votes on May 23.\n\nRead more h\xe2\x80\xa6'
2019-03-11 11:11:03,b'RT @RavinarIN: Sicko @KhanAmanatullah Elections are not an Islamic event so STFU...\n1) Muslims must go about normal duties during Ramzan...\xe2\x80\xa6'
2019-03-11 11:11:00,b'RT @BurnolReloaded: BREAKING IN\n\nSo it is decided\nModiji @narendramodi ji will win the elections of 2019 on 23rd May 2019\n\nEVM will be blam\xe2\x80\xa6'
2019-03-11 11:10:57,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 11:10:51,"b""Nigeria's Problem in Regions.\n\nSouth- Amaechi, Akpabio, \n\nEast- Rochas, \n\nWest- Tinubu\n\nNorth- El-Rufai, Yahaya Bel\xe2\x80\xa6 https://t.co/PGkLU8SAyR"""
2019-03-11 11:10:37,b'Good democracy needs a good opposition leader and as an opposition leader @RahulGandhi is doing very good job. So i\xe2\x80\xa6 https://t.co/cGhHK9Qnwi'
